[INFO] 2026-05-21 12:09:24,654 | System started
[WARNING] 2026-05-21 12:09:24,654 | Warning test
[ERROR] 2026-05-21 12:09:24,655 | Error test
[INFO] 2026-05-23 12:19:31,389 | Starting worker | name=CameraWorker
[INFO] 2026-05-23 12:19:31,390 | Worker started | name=CameraWorker
[INFO] 2026-05-23 12:19:31,454 | Stopping worker | name=CameraWorker
[INFO] 2026-05-23 12:19:31,454 | Worker stopped | name=CameraWorker
[INFO] 2026-05-23 12:23:47,253 | Starting worker | name=CameraWorker
[INFO] 2026-05-23 12:23:47,255 | Worker started | name=CameraWorker
[INFO] 2026-05-23 12:23:47,317 | Stopping worker | name=CameraWorker
[INFO] 2026-05-23 12:23:47,317 | Worker stopped | name=CameraWorker
[WARNING] 2026-05-23 12:25:38,036 | Connect error on fd 344: WSAECONNREFUSED
[WARNING] 2026-05-23 12:25:40,153 | Connect error on fd 344: WSAECONNREFUSED
[WARNING] 2026-05-23 12:25:42,190 | Connect error on fd 344: WSAECONNREFUSED
[WARNING] 2026-05-23 12:25:44,235 | Connect error on fd 344: WSAECONNREFUSED
[WARNING] 2026-05-23 12:25:46,286 | Connect error on fd 344: WSAECONNREFUSED
[WARNING] 2026-05-23 21:02:16,716 | Connect error on fd 1588: WSAECONNREFUSED
[WARNING] 2026-05-23 21:02:18,754 | Connect error on fd 1588: WSAECONNREFUSED
[WARNING] 2026-05-23 21:02:20,792 | Connect error on fd 1588: WSAECONNREFUSED
[WARNING] 2026-05-23 21:02:22,839 | Connect error on fd 1588: WSAECONNREFUSED
[WARNING] 2026-05-23 21:02:24,890 | Connect error on fd 1588: WSAECONNREFUSED
[INFO] 2026-05-23 21:03:58,080 | Starting worker | name=CameraWorker
[INFO] 2026-05-23 21:03:58,081 | Worker started | name=CameraWorker
[INFO] 2026-05-23 21:03:59,088 | Stopping worker | name=CameraWorker
[INFO] 2026-05-23 21:03:59,142 | Worker stopped | name=CameraWorker
[WARNING] 2026-05-23 21:45:57,391 | Connect error on fd 336: WSAECONNREFUSED
[WARNING] 2026-05-23 21:45:59,434 | Connect error on fd 336: WSAECONNREFUSED
[WARNING] 2026-05-23 21:46:01,483 | Connect error on fd 336: WSAECONNREFUSED
[WARNING] 2026-05-23 21:46:03,518 | Connect error on fd 336: WSAECONNREFUSED
[WARNING] 2026-05-23 21:46:05,561 | Connect error on fd 336: WSAECONNREFUSED
[INFO] 2026-05-24 08:53:09,687 | Service registered | name=config | type=dict
[INFO] 2026-05-24 08:53:09,688 | Service registered | name=state | type=SharedState
[INFO] 2026-05-24 08:53:09,688 | Service registered | name=orchestrator | type=Orchestrator
[INFO] 2026-05-24 08:53:09,688 | HuntEye runtime starting
[INFO] 2026-05-24 08:53:09,689 | Starting worker | name=CameraWorker
[INFO] 2026-05-24 08:53:09,689 | Worker started | name=CameraWorker
[INFO] 2026-05-24 08:53:09,689 | Starting worker | name=Watchdog
[INFO] 2026-05-24 08:53:09,691 | Worker started | name=Watchdog
[ERROR] 2026-05-24 08:53:09,693 | Worker crashed | name=CameraWorker | error=No module named 'airsim'
[INFO] 2026-05-24 08:53:09,693 | Worker stopped | name=CameraWorker
[WARNING] 2026-05-24 08:53:10,704 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:11,716 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:12,724 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:13,734 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:14,745 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:15,753 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:16,763 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:53:17,769 | Worker unhealthy | name=CameraWorker | reason=failed
